Gene stable ID,Gene name,NCBI gene ID,UniProtKB/Swiss-Prot ID,RefSeq peptide ID
ENSMUSG00000064341,mt-Nd1,17716,P03888,NP_904328
ENSMUSG00000064345,mt-Nd2,17717,P03893,NP_904329
ENSMUSG00000064351,mt-Co1,17708,P00397,NP_904330
ENSMUSG00000064354,mt-Co2,17709,P00405,NP_904331
ENSMUSG00000064356,mt-Atp8,17706,P03930,NP_904332
ENSMUSG00000064357,mt-Atp6,17705,P00848,NP_904333
ENSMUSG00000064358,mt-Co3,17710,P00416,NP_904334
ENSMUSG00000064360,mt-Nd3,17718,P03899,NP_904335
ENSMUSG00000065947,mt-Nd4l,17720,P03903,NP_904336
ENSMUSG00000064363,mt-Nd4,17719,P03911,NP_904337
ENSMUSG00000064367,mt-Nd5,17721,P03921,NP_904338
ENSMUSG00000064368,mt-Nd6,17722,P03925,NP_904339
ENSMUSG00000064370,mt-Cytb,17711,P00158,NP_904340
ENSMUSG00000078254,Krtap29-1,,A2A5X4,
ENSMUSG00000044814,Olfr543,257947,,
ENSMUSG00000044537,Olfr779,,,
ENSMUSG00000043948,Olfr691,259063,,
ENSMUSG00000100231,Gm29554,,,
ENSMUSG00000033508,Asprv1,67855,Q09PK2,NP_080690
ENSMUSG00000114755,Galr3,14429,O88853,NP_056553
ENSMUSG00000049530,Clrn2,624224,,NP_001156789
ENSMUSG00000044537,Olfr779,,,
ENSMUSG00000043948,Olfr691,259063,,NP_667272
ENSMUSG00000054667,Irs4,16370,Q9Z0Y7,NP_034702
ENSMUSG00000044814,Olfr543,257947,,NP_001011782
ENSMUSG00000048138,Dmrt2,226049,Q8BG36,NP_665830
ENSMUSG00000042462,Dctpp1,66422,Q9QY93,NP_075692
ENSMUSG00000090291,Lrrc10b,278795,,NP_001104610
ENSMUSG00000078253,Krtap16-1,100504183,A2A5X5,NP_001242986
ENSMUSG00000078670,Fam174b,100038347,Q8K064,NP_001156004
ENSMUSG00000073906,Olfr692,258352,,NP_666467
ENSMUSG00000073906,Olfr692,258352,,
ENSMUSG00000078670,Fam174b,100038347,,
ENSMUSG00000019851,Perp,64058,Q9JK95,NP_071315
ENSMUSG00000020803,Txndc17,52700,Q9CQM5,NP_080835
ENSMUSG00000078605,E030025P04Rik,,,
ENSMUSG00000094735,Vmn1r95,100312475,,NP_001161010
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000030124,Lag3,16768,Q61790,NP_032505
ENSMUSG00000059423,Zfp933,242747,,NP_001342659
ENSMUSG00000059423,Zfp933,242747,,NP_941021
ENSMUSG00000017311,Pyy,217212,,NP_001333700
ENSMUSG00000059423,Zfp933,242747,,
ENSMUSG00000042213,Zfand4,67492,,
ENSMUSG00000106893,Vmn1r-ps7,,,
ENSMUSG00000049091,Sephs2,20768,P97364,NP_033292
ENSMUSG00000075197,Olfr1046,258575,,
ENSMUSG00000075197,Olfr1046,258575,,NP_666793
ENSMUSG00000115072,Vmn1r2,100312470,,
ENSMUSG00000017311,Pyy,217212,Q9EPS2,NP_663410
ENSMUSG00000115072,Vmn1r2,100312470,,NP_001161006
ENSMUSG00000075196,Olfr1047,259014,,
ENSMUSG00000017311,Pyy,217212,,
